127.0.0.1 - - [19/Sep/2023:19:59:18 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [19/Sep/2023:19:59:20 +0700] "GET /shopbanhang/ HTTP/1.1" 200 21866
0:0:0:0:0:0:0:1 - - [19/Sep/2023:19:59:20 +0700] "GET /shopbanhang/assets/user/style.css;jsessionid=D50078DFD894A14A8422D2CF322950EC HTTP/1.1" 200 7801
0:0:0:0:0:0:0:1 - - [19/Sep/2023:19:59:20 +0700] "GET /shopbanhang/assets/user/font-awesome/css/font-awesome.css;jsessionid=D50078DFD894A14A8422D2CF322950EC HTTP/1.1" 200 27232
0:0:0:0:0:0:0:1 - - [19/Sep/2023:19:59:20 +0700] "GET /shopbanhang/assets/user/js/jquery.easing-1.3.min.js;jsessionid=D50078DFD894A14A8422D2CF322950EC HTTP/1.1" 200 3436
0:0:0:0:0:0:0:1 - - [19/Sep/2023:19:59:20 +0700] "GET /shopbanhang/assets/user/img/logo-bootstrap-shoping-cart.png;jsessionid=D50078DFD894A14A8422D2CF322950EC HTTP/1.1" 200 10547
0:0:0:0:0:0:0:1 - - [19/Sep/2023:19:59:20 +0700] "GET /shopbanhang/assets/img/paypal.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [19/Sep/2023:19:59:20 +0700] "GET /shopbanhang/assets/user/js/jquery.scrollTo-1.4.3.1-min.js;jsessionid=D50078DFD894A14A8422D2CF322950EC HTTP/1.1" 200 2434
0:0:0:0:0:0:0:1 - - [19/Sep/2023:19:59:20 +0700] "GET /shopbanhang/assets/img/bootstrap-ecommerce-templates.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [19/Sep/2023:19:59:20 +0700] "GET /shopbanhang/assets/img/shopping-cart-template.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [19/Sep/2023:19:59:20 +0700] "GET /shopbanhang/assets/user/js/shop.js;jsessionid=D50078DFD894A14A8422D2CF322950EC HTTP/1.1" 200 750
0:0:0:0:0:0:0:1 - - [19/Sep/2023:19:59:20 +0700] "GET /shopbanhang/assets/img/bootstrap-template.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [19/Sep/2023:19:59:20 +0700] "GET /shopbanhang/assets/user/img/bootstrap-ring.png;jsessionid=D50078DFD894A14A8422D2CF322950EC HTTP/1.1" 200 21518
0:0:0:0:0:0:0:1 - - [19/Sep/2023:19:59:20 +0700] "GET /shopbanhang/assets/user/img/bootstrap_free-ecommerce.png;jsessionid=D50078DFD894A14A8422D2CF322950EC HTTP/1.1" 200 57764
0:0:0:0:0:0:0:1 - - [19/Sep/2023:19:59:20 +0700] "GET /shopbanhang/assets/user/img/bootstrap-template.png;jsessionid=D50078DFD894A14A8422D2CF322950EC HTTP/1.1" 200 31994
0:0:0:0:0:0:0:1 - - [19/Sep/2023:19:59:20 +0700] "GET /shopbanhang/assets/img/bootstrap-ring.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [19/Sep/2023:19:59:20 +0700] "GET /shopbanhang/assets/user/css/bootstrap.css;jsessionid=D50078DFD894A14A8422D2CF322950EC HTTP/1.1" 200 127343
