127.0.0.1 - - [02/Oct/2023:14:43:52 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [02/Oct/2023:14:43:53 +0700] "GET /shopbanhang/ HTTP/1.1" 200 27770
0:0:0:0:0:0:0:1 - - [02/Oct/2023:14:43:53 +0700] "GET /shopbanhang/assets/user/font-awesome/css/all.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2023:14:43:53 +0700] "GET /shopbanhang/assets/user/style1.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2023:14:43:53 +0700] "GET /shopbanhang/assets/user/style.css HTTP/1.1" 200 8853
0:0:0:0:0:0:0:1 - - [02/Oct/2023:14:43:53 +0700] "GET /shopbanhang/assets/img/bootstrap-template.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2023:14:43:53 +0700] "GET /shopbanhang/assets/img/shopping-cart-template.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2023:14:43:53 +0700] "GET /shopbanhang/assets/img/paypal.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2023:14:43:53 +0700] "GET /shopbanhang/assets/img/bootstrap-ecommerce-templates.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2023:14:43:53 +0700] "GET /shopbanhang/assets/img/2.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2023:14:43:53 +0700] "GET /shopbanhang/assets/img/1.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2023:14:43:53 +0700] "GET /shopbanhang/assets/img/3.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2023:14:43:53 +0700] "GET /shopbanhang/assets/img/5.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2023:14:43:53 +0700] "GET /shopbanhang/assets/img/4.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2023:14:43:53 +0700] "GET /shopbanhang/assets/img/6.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2023:14:43:53 +0700] "GET /shopbanhang/assets/user/assets/img/new.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2023:14:43:53 +0700] "GET /shopbanhang/assets/user/img/glyphicons-halflings.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2023:14:43:53 +0700] "GET /shopbanhang/assets/user/font-awesome/webfonts/fa-solid-900.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2023:14:44:16 +0700] "GET /shopbanhang/gio-hang HTTP/1.1" 200 10222
0:0:0:0:0:0:0:1 - - [02/Oct/2023:14:44:16 +0700] "GET /shopbanhang/assets/img/1.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2023:14:44:16 +0700] "GET /shopbanhang/assets/img/2.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2023:14:44:16 +0700] "GET /shopbanhang/assets/img/3.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2023:14:44:16 +0700] "GET /shopbanhang/assets/img/4.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2023:14:44:16 +0700] "GET /shopbanhang/assets/img/5.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2023:14:44:16 +0700] "GET /shopbanhang/assets/img/6.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2023:14:44:17 +0700] "GET /shopbanhang/ HTTP/1.1" 200 27786
0:0:0:0:0:0:0:1 - - [02/Oct/2023:14:44:17 +0700] "GET /shopbanhang/assets/img/1.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2023:14:44:17 +0700] "GET /shopbanhang/assets/img/paypal.jpg HTTP/1.1" 404 682
